"@timestamp","system_name",message,"operator_id"
"Nov 23, 2022 @ 07:59:54.889","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8684726^00600888880000491045^0031737349^00168^BG13262^SPS04^1^rfostott",rfostott
"Nov 23, 2022 @ 07:59:52.101","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000427092^0037125390^02578^BG09478^SPS01^4^rfkglove",rfkglove
"Nov 23, 2022 @ 07:59:48.855","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000404828^0037125390^02805^BG12653^SPS04^2^rfostott",rfostott
"Nov 23, 2022 @ 07:59:47.830","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8683796^00600888880000420241^0037856556^00424^BG12495^SPS04^2^rfostott",rfostott
"Nov 23, 2022 @ 07:59:43.742","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000404828^0037125390^02805^BG12653^SPS04^4^rfostott",rfostott
"Nov 23, 2022 @ 07:59:42.977","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000427092^0037125390^02578^BG09478^SPS01^4^rfkglove",rfkglove
"Nov 23, 2022 @ 07:59:38.610","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000404828^0037125390^02805^BG12653^SPS04^4^rfostott",rfostott
"Nov 23, 2022 @ 07:59:32.913","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000427092^0037125390^02578^BG09478^SPS01^4^rfkglove",rfkglove
"Nov 23, 2022 @ 07:59:32.574","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000404828^0037125390^02805^BG12653^SPS04^4^rfostott",rfostott
"Nov 23, 2022 @ 07:59:24.165","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8686776^00600888880000404828^0037125390^02805^BG12653^SPS04^4^rfostott",rfostott
