"@timestamp","system_name",message,"operator_id"
"Dec 10, 2022 @ 21:29:27.643","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8784983^00600888880000420258^0038084869^00367^BG11221^SPS02^4^MAZZA",MAZZA
"Dec 10, 2022 @ 21:29:21.417","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8784983^00600888880000420258^0038084869^00816^BG11500^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:28:26.495","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8793742^00900777770000573994^0035446111^02254^BG11359^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:28:17.550","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8776095^00900777770000520936^0036581890^00854^BG09403^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:28:01.814","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794919^00600888880000401421^0035828698^02349^BG11279^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:27:54.941","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794919^00600888880000401421^0035828698^02427^BG12649^SPS02^2^MAZZA",MAZZA
"Dec 10, 2022 @ 21:27:54.891","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794919^00600888880000401421^0035828698^02416^BG09345^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:27:21.635","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794470^00600888880000419049^0037878360^00561^BG09811^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:27:12.790","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794983^00900777770000617079^0038207114^00633^BG09510^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:27:10.026","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794983^00900777770000617079^0038207114^02436^BG12398^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:26:08.871","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794983^00900777770000590035^0038207114^02295^BG11357^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:25:51.160","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794826^00900777770000597032^0038084372^00508^BG09451^SPS02^2^MAZZA",MAZZA
"Dec 10, 2022 @ 21:25:32.401","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794631^00900777770000501209^0037092285^00516^BG11794^SPS02^3^MAZZA",MAZZA
"Dec 10, 2022 @ 21:25:02.535","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8793746^00900777770000616547^0037395977^00228^BG12204^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:44.299","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794914^00600888880000433628^0037396561^02294^BG09376^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:37.486","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794914^00600888880000433628^0037396561^00508^BG09451^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:32.612","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794914^00600888880000433628^0037396561^00315^BG11539^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:29.040","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794400^00600888880000477657^0035828706^02399^BG09523^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:23.993","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794400^00600888880000477657^0035828706^02416^BG09345^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:21.732","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794400^00600888880000477657^0035828706^02427^BG12649^SPS02^2^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:14.110","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8776527^00900777770000562144^0036581940^00315^BG11539^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:11.692","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8776527^00900777770000562144^0036581940^00366^BG11922^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:24:01.065","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8795021^00600888880000421784^0036114205^02251^BG09368^SPS02^3^MAZZA",MAZZA
"Dec 10, 2022 @ 21:23:53.754","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8789466^00900777770000610679^0031755747^00857^BG11457^SPS02^1^MAZZA",MAZZA
"Dec 10, 2022 @ 21:23:48.519","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8789466^00900777770000610679^0031755747^00857^BG11457^SPS02^4^MAZZA",MAZZA
"Dec 10, 2022 @ 21:23:43.307","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8789466^00900777770000610679^0031755747^00857^BG11457^SPS02^4^MAZZA",MAZZA
"Dec 10, 2022 @ 21:23:21.480","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794414^00600888880000472077^0037935566^02254^BG11359^SPS02^3^MAZZA",MAZZA
"Dec 10, 2022 @ 21:23:14.538","-","OB1-Interface: Queuing message to send to the WMS: PICKCOMPLETE:8794984^00900777770000515567^0038207163^02436^BG12398^SPS02^1^MAZZA",MAZZA
